country,continent
Bangladesh,AS
Belgium,EU
Burkina Faso,AF
Bulgaria,EU
Bosnia and Herzegovina,EU
Barbados,NA
Wallis and Futuna,OC
Saint Barthelemy,NA
Bermuda,NA
Brunei,AS
Bolivia,SA
Bahrain,AS
Burundi,AF
Benin,AF
Bhutan,AS
Jamaica,NA
Bouvet Island,AN
Botswana,AF
Samoa,OC
Bonaire
Saint Eustatius and Saba ,NA
Brazil,SA
Bahamas,NA
Jersey,EU
Belarus,EU
Belize,NA
Russia,EU
Rwanda,AF
Serbia,EU
East Timor,OC
Reunion,AF
Turkmenistan,AS
Tajikistan,AS
Romania,EU
Tokelau,OC
Guinea-Bissau,AF
Guam,OC
Guatemala,NA
South Georgia and the South Sandwich Islands,AN
Greece,EU
Equatorial Guinea,AF
Guadeloupe,NA
Japan,AS
Guyana,SA
Guernsey,EU
French Guiana,SA
Georgia,AS
Grenada,NA
United Kingdom,EU
Gabon,AF
El Salvador,NA
Guinea,AF
Gambia,AF
Greenland,NA
Gibraltar,EU
Ghana,AF
Oman,AS
Tunisia,AF
Jordan,AS
Croatia,EU
Haiti,NA
Hungary,EU
Hong Kong,AS
Honduras,NA
Heard Island and McDonald Islands,AN
Venezuela,SA
Puerto Rico,NA
Palestinian Territory,AS
Palau,OC
Portugal,EU
Svalbard and Jan Mayen,EU
Paraguay,SA
Iraq,AS
Panama,NA
French Polynesia,OC
Papua New Guinea,OC
Peru,SA
Pakistan,AS
Philippines,AS
Pitcairn,OC
Poland,EU
Saint Pierre and Miquelon,NA
Zambia,AF
Western Sahara,AF
Estonia,EU
Egypt,AF
South Africa,AF
Ecuador,SA
Italy,EU
Vietnam,AS
Solomon Islands,OC
Ethiopia,AF
Somalia,AF
Zimbabwe,AF
Saudi Arabia,AS
Spain,EU
Eritrea,AF
Montenegro,EU
Moldova,EU
Madagascar,AF
Saint Martin,NA
Morocco,AF
Monaco,EU
Uzbekistan,AS
Myanmar,AS
Mali,AF
Macao,AS
Mongolia,AS
Marshall Islands,OC
Macedonia,EU
Mauritius,AF
Malta,EU
Malawi,AF
Maldives,AS
Martinique,NA
Northern Mariana Islands,OC
Montserrat,NA
Mauritania,AF
Isle of Man,EU
Uganda,AF
Tanzania,AF
Malaysia,AS
Mexico,NA
Israel,AS
France,EU
British Indian Ocean Territory,AS
Saint Helena,AF
Finland,EU
Fiji,OC
Falkland Islands,SA
Micronesia,OC
Faroe Islands,EU
Nicaragua,NA
Netherlands,EU
Norway,EU
Namibia,AF
Vanuatu,OC
New Caledonia,OC
Niger,AF
Norfolk Island,OC
Nigeria,AF
New Zealand,OC
Nepal,AS
Nauru,OC
Niue,OC
Cook Islands,OC
Kosovo,EU
Ivory Coast,AF
Switzerland,EU
Colombia,SA
China,AS
Cameroon,AF
Chile,SA
Cocos Islands,AS
Canada,NA
Republic of the Congo,AF
Central African Republic,AF
Democratic Republic of the Congo,AF
Czech Republic,EU
Cyprus,EU
Christmas Island,AS
Costa Rica,NA
Curacao,NA
Cape Verde,AF
Cuba,NA
Swaziland,AF
Syria,AS
Sint Maarten,NA
Kyrgyzstan,AS
Kenya,AF
South Sudan,AF
Suriname,SA
Kiribati,OC
Cambodia,AS
Saint Kitts and Nevis,NA
Comoros,AF
Sao Tome and Principe,AF
Slovakia,EU
South Korea,AS
Slovenia,EU
North Korea,AS
Kuwait,AS
Senegal,AF
San Marino,EU
Sierra Leone,AF
Seychelles,AF
Kazakhstan,AS
Cayman Islands,NA
Singapore,AS
Sweden,EU
Sudan,AF
Dominican Republic,NA
Dominica,NA
Djibouti,AF
Denmark,EU
British Virgin Islands,NA
Germany,EU
Yemen,AS
Algeria,AF
United States,NA
Uruguay,SA
Mayotte,AF
United States Minor Outlying Islands,OC
Lebanon,AS
Saint Lucia,NA
Laos,AS
Tuvalu,OC
Taiwan,AS
Trinidad and Tobago,NA
Turkey,AS
Sri Lanka,AS
Liechtenstein,EU
Latvia,EU
Tonga,OC
Lithuania,EU
Luxembourg,EU
Liberia,AF
Lesotho,AF
Thailand,AS
French Southern Territories,AN
Togo,AF
Chad,AF
Turks and Caicos Islands,NA
Libya,AF
Vatican,EU
Saint Vincent and the Grenadines,NA
United Arab Emirates,AS
Andorra,EU
Antigua and Barbuda,NA
Afghanistan,AS
Anguilla,NA
U.S. Virgin Islands,NA
Iceland,EU
Iran,AS
Armenia,AS
Albania,EU
Angola,AF
Antarctica,AN
American Samoa,OC
Argentina,SA
Australia,OC
Austria,EU
Aruba,NA
India,AS
Aland Islands,EU
Azerbaijan,AS
Ireland,EU
Indonesia,AS
Ukraine,EU
Qatar,AS
Mozambique,AF